Workflow Name,Target Data Table
KAIKU.wf_TERRA_to_kaiku_stg,KAIKU_STG.STG_TERRA_BUS_DIM_UECC_AGENT
,KAIKU_STG.STG_TERRA_BUS_DIM_UECC_CALLTYPE
,KAIKU_STG.STG_TERRA_DIM_BILLING_ARRANGEMEN
,KAIKU_STG.STG_TERRA_DIM_CHARGE
,KAIKU_STG.STG_TERRA_DIM_CLASSIFICATION
,KAIKU_STG.STG_TERRA_DIM_CUSTOMER
,KAIKU_STG.STG_TERRA_DIM_SUBSCRIBER
,KAIKU_STG.STG_TERRA_DIM_UECC_AGENT_LOGIN
,KAIKU_STG.STG_TERRA_FACT_CREDIT_LOSS
,KAIKU_STG.STG_TERRA_FACT_UECC_KOSYSE
KAIKU.wf_nirap_tables_to_kaiku_stg,KAIKU_STG.STG_NIRAP_A_KAIKU_FIXED
,KAIKU_STG.STG_NIRAP_A_KAIKU_MOBILE
,KAIKU_STG.STG_NIRAP_A_FTTH_FIBER
,KAIKU_STG.STG_NIRAP_A_KAIKU_CORE
,KAIKU_STG.STG_NIRAP_A_KAIKU_MOBILE_FIBER
,KAIKU_STG.STG_NIRAP_V_KAIKU_TRAFFIC
KAIKU.wf_Rambo,KAIKU_STG.STG_OTSO_COSTS_FOR_KAIKU
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,KAIKU_STG.STG_RAMBO_V_KAIKU_BTSDATA
,KAIKU_STG.STG_ODW_DM_MOBILE_TRAFFIC
,
,
KAIKU.wf_fixed_base_to_kaiku_stg,KAIKU_STG.STG_SVOC_BUS_FCT_FIXED_BASE_T
,
KAIKU.wf_salesforce_kaiku_stg,KAIKU_STG.STG_SFDC_FL_OPPORTUNITIES
,
,KAIKU_STG.STG_SFDC_FL_EVENT
,KAIKU_STG.STG_SFDC_FL_BASE_MILESTONE1_PROJECT
,
,KAIKU_STG.STG_SFDC_FL_BASE_MILESTONE1_TASK
,
,KAIKU_STG.STG_SFDC_FL_BASE_MILESTONE1_TIME
,
,KAIKU_STG.STG_SFDC_V_ORDERS_SERVICE
,
,
,
,
,KAIKU_STG.STG_SFDC_FL_RESOURCE_REQUEST
,KAIKU_STG.STG_SFDC_FL_OPP_TEAMMEMBER
,KAIKU_STG.STG_SOR_OC_CONTACT_EVENT
,KAIKU_STG.STG_CTIREP_SOR_CASE
,KAIKU_STG.STG_SFDC_FL_ACCOUNT
,KAIKU_STG.STG_SFDC_FL_USER
KAIKU.wf_sales_to_kaiku_stg,KAIKU_STG.STG_RM_EBOOK_EVENTS
,
,
,
,
,
,
,KAIKU_STG.STG_SVOC_STG_FL_KIRJA_SALES
,
,
,
,
,
,KAIKU_STG.STG_SVOC_STG_FL_KIRJA_CUSTOMER
,
,KAIKU_STG.STG_FCT_FIXED_SALES_T
,KAIKU_STG.STG_FCT_MOBILE_SALES_T
,KAIKU_STG.STG_SVOC_SOR_SOR_SALES
,
,
,
,KAIKU_STG.STG_SVOC_SOR_SOR_SALES_ITEM
,KAIKU_STG.STG_TERRA_DATA_MIPA_SOPIMUSTUOTE
,
,KAIKU_STG.STG_TERRA_DIM_MIPA_SOPIMUSHIER
,
,KAIKU_STG.STG_OE_HISTORICALORDER
,KAIKU_STG.STG_ODW_BUS4_DIM_BASSET_CUSTOMER
,
,KAIKU_STG.STG_SACC_STOCK_ITEM
,
,KAIKU_STG.STG_MOVING_AVG_PRICE
,
,KAIKU_STG.STG_YA_DEVICE_SALES
,
,
,
,
,
,KAIKU_STG.STG_YA_DEVICE_SALES
,
,
,
,
,
,
,KAIKU_STG.STG_YA_DEVICE_SALES
,
,
,
,
,
,
,
,KAIKU_STG.STG_FCT_CONTRACT_SALES_T
,KAIKU_STG.STG_SVOC_SOR_SOR_INVOICE
,
,
KAIKU.wf_UsageIC,KAIKU_STG.STG_ODW_BUS_SMS_IC_TERM
,
,
,
,KAIKU_STG.STG_ODW_BUS_SMS_IC_ORIG
,
,
,
KAIKU.wf_Roaming,KAIKU_STG.STG_ODW_BUS_TAP_ROAMING_OUTBOUND
,
,
,
,
,KAIKU_STG.STG_ODW_BUS_TAP_ROAMING_INBOUND
,
KAIKU.wf_VAS,KAIKU_STG.STG_VAS_SMS
,
,
,
,KAIKU_STG.STG_VAS_MOBIILIMAKSAMINEN
,
,
,
,KAIKU_STG.STG_VAS_VOICE
,
,
,
,
,
KAIKU.wf_Prepaid,KAIKU_STG.STG_PREPAID_CRS_USAGE_MO
,
,
,
,KAIKU_STG.STG_PREPAID_CRS_USAGE_MT
,
,
,
,KAIKU_STG.STG_PREPAID_CRS_SERVICE_FEE
,
,
,
,KAIKU_STG.STG_PREPAID_CRS_ACCOUNT_COST
,
,
,
,KAIKU_STG.STG_PREPAID_CRS_PAY_VOU_REFILL
,
,
,
,
KAIKU.wf_kaiku_datamart_report,
,KAIKU_STG.DL_KAIKU_PRODUCT_HIERARCHY
,
,
,
,
,
,
,
,
,KAIKU_STG.FL_KAIKU_PRODUCT_HIERARCHY
,
,KAIKU_DM.CTL_KAIKU_REP
,KAIKU_DM.CTL_KAIKU_REP
,
,KAIKU_DM.REP_QV_KAIKU_INTERIM
,
,
,
,
,
,
,KAIKU_DM.REP_QV_KAIKU_INTERIM
,
,
,
,
,
,KAIKU_DM.DIM_KAIKU_CUSTOMER
,
,
,
,KAIKU_DM.REP_QV_KAIKU
,
,
,
,
,KAIKU_DM.CTL_KAIKU_REP
,KAIKU_DM.TMP_DIM_KAIKU_CUSTOMER
,
,
,
,
,KAIKU_DM.DIM_KAIKU_CUSTOMER
,KAIKU_DM.DIM_KAIKU_CUSTOMER_HIST
,KAIKU_DM.DIM_KAIKU_CUSTOMER
,
,KAIKU_DM.TMP_DIM_KAIKU_CUSTOMER_DUPL
,KAIKU_DM.DIM_KAIKU_CUSTOMER
KAIKU.wf_kaiku_telco_cloud,
,KAIKU_STG.FILE_PRESENCE_CHECK_VIDERA
,
,
,KAIKU_STG.STG_TELCOCLOUD_USAGE
,
KAIKU.wf_SMS_IN_workaround,KAIKU_STG.tmp_SMS_IN_workaround
,
,
,
,KAIKU_STG.STG_ODW_BUS4_BUS_BASSET_RATED
